"lon","lat","num","class1","class2"
-155.805423,22.548603,"1","a",NA
-160.42823,23.722831,"1","a",NA
-154.789877,21.908144,"2","a",NA
-160.831909,23.446148,"2","a",NA
-154.236307,21.394828,"3","a",NA
-160.960447,23.087109,"3","a",NA
-153.60662,20.791425,"4","a",NA
-161.111782,22.701324,"4","a",NA
-158.267583,21.580851,"5a","a",NA
-161.290648,22.343525,"5a","a",NA
-157.724975,21.45347,"5b","a",NA
-153.407034,20.3666,"5b","a",NA
-157.041263,20.867679,"6a","a",NA
-161.383067,21.970298,"6a","a",NA
-156.453994,20.727094,"6b","a",NA
-156.805294,20.817641,"6b","a",NA
-156.092589,20.646382,"6c","a",NA
-153.234952,19.905873,"6c","a",NA
-155.900509,20.161608,"7a","a",NA
-161.520957,21.591477,"7a","a",NA
-153.091988,19.4717,"7b","a",NA
-155.369513,20.060567,"7b","a",NA
-153.11697,19.041692,"8","a",NA
-161.655616,21.228467,"8","a",NA
-155.891936,19.309341,"9a","a",NA
-161.591311,20.765204,"9a","a",NA
-155.393942,19.195442,"9b","a",NA
-153.357578,18.664187,"9b","a",NA
-153.632806,18.320719,"10","a",NA
-158.192652,19.49567,"10","a",NA
-153.972062,18.006949,"11","a",NA
-157.807717,18.998247,"11","a",NA
-154.41919,17.741994,"12","a",NA
-157.635167,18.572403,"12","a",NA
-154.876118,17.450188,"13","a",NA
-157.218432,18.057662,"13","a",NA
-160.359571,20.051253,"MCP1","a",NA
-158.192652,19.49567,"MCP1","a",NA
-157.635167,18.572403,"MCP2","a",NA
-158.274285,18.73861,"MCP2","a",NA
-157.807717,18.998247,"MCP3","a",NA
-159.273511,19.369508,"MCP3","a",NA
-156.091533,19.170236,"BIstrata-EW1","b",NA
-155.394465,18.978896,"BIstrata-EW1","b",NA
-156.197462,19.615892,"BIstrata-EW2","b",NA
-154.800508,19.264367,"BIstrata-EW2","b",NA
-154.719165,19.665625,"BIstrata-EW3","b",NA
-156.278703,20.067396,"BIstrata-EW3","b",NA
-154.67749,19.381328,"BIstrata-NS1","b",NA
-154.749485,19.687432,"BIstrata-NS1","b",NA
-154.828546,19.244818,"BIstrata-NS2","b",NA
-155.010648,20.031249,"BIstrata-NS2","b",NA
-154.988211,19.156575,"BIstrata-NS3","b",NA
-155.231833,20.188977,"BIstrata-NS3","b",NA
-155.153879,19.093847,"BIstrata-NS4","b",NA
-155.434924,20.276573,"BIstrata-NS4","b",NA
-155.321777,19.031523,"BIstrata-NS5","b",NA
-155.642419,20.391186,"BIstrata-NS5","b",NA
-155.468051,18.877089,"BIstrata-NS6","b",NA
-155.857876,20.525366,"BIstrata-NS6","b",NA
-155.627255,18.765984,"BIstrata-NS7","b",NA
-156.02415,20.452689,"BIstrata-NS7","b",NA
-155.833124,18.814248,"BIstrata-NS8","b",NA
-156.196969,20.376345,"BIstrata-NS8","b",NA
-160.301403,21.642037,"KNstrata-NS2","b",NA
-160.381863,21.968086,"KNstrata-NS2","b",NA
-160.301403,21.642037,"KNstrata-EW1","b",NA
-160.381863,21.968086,"KNstrata-EW1","b",NA
-159.950457,21.776124,"KNstrata-EW2","b",NA
-160.403286,21.923524,"KNstrata-EW2","b",NA
-160.421681,21.539501,"KNstrata-EW3","b",NA
-160.707476,21.625206,"KNstrata-EW3","b",NA
-160.4589,21.511906,"KNstrata-NS1","b",NA
-160.533372,21.816198,"KNstrata-NS1","b",NA
-160.114996,21.645225,"KNstrata-NS3","b",NA
-160.211519,22.150555,"KNstrata-NS3","b",NA
-159.950457,21.776124,"KNstrata-NS4","b",NA
-160.031377,22.170639,"KNstrata-NS4","b",NA
-159.756393,21.785639,"KNstrata-NS5","b",NA
-159.862915,22.243634,"KNstrata-NS5","b",NA
-159.552647,21.724956,"KNstrata-NS6","b",NA
-159.706411,22.362495,"KNstrata-NS6","b",NA
-159.366155,21.730183,"KNstrata-NS7","b",NA
-159.524396,22.398466,"KNstrata-NS7","b",NA
-159.332135,22.379904,"KNstrata-NS8","b",NA
-159.201605,21.845368,"KNstrata-NS8","b",NA
-155.410517,20.265367,"MNstrata-EW1","b",NA
-157.175606,20.721161,"MNstrata-EW1","b",NA
-158.377421,21.416735,"MNstrata-EW2","b",NA
-155.801906,20.76818,"MNstrata-EW2","b",NA
-157.60188,21.59731,"MNstrata-EW3","b",NA
-158.25503,21.755015,"MNstrata-EW3","b",NA
